# pinned official Bluesky inventory (2026-05-25)
# operation_command	lexicon_id	kind	http_method	path	doc_url	[namespace=...]	[group=...]	[docs_source=...]	[stability=...]	[route_hint=...]	[input_encoding=...]	[required_query=...]	[required_body=...]
app-bsky-actor-get-preferences	app.bsky.actor.getPreferences	query	GET	/xrpc/app.bsky.actor.getPreferences	https://docs.bsky.app/docs/api/app-bsky-actor-get-preferences	[namespace=app.bsky]	[group=actor]	[docs_source=http-reference]	[stability=stable]	[route_hint=entryway-or-pds]	[input_encoding=]	[required_query=]	[required_body=]
app-bsky-actor-get-profile	app.bsky.actor.getProfile	query	GET	/xrpc/app.bsky.actor.getProfile	https://docs.bsky.app/docs/api/app-bsky-actor-get-profile	[namespace=app.bsky]	[group=actor]	[docs_source=http-reference]	[stability=stable]	[route_hint=entryway-or-pds]	[input_encoding=]	[required_query=actor]	[required_body=]
app-bsky-actor-get-profiles	app.bsky.actor.getProfiles	query	GET	/xrpc/app.bsky.actor.getProfiles	https://docs.bsky.app/docs/api/app-bsky-actor-get-profiles	[namespace=app.bsky]	[group=actor]	[docs_source=http-reference]	[stability=stable]	[route_hint=entryway-or-pds]	[input_encoding=]	[required_query=actors]	[required_body=]
app-bsky-actor-get-suggestions	app.bsky.actor.getSuggestions	query	GET	/xrpc/app.bsky.actor.getSuggestions	https://docs.bsky.app/docs/api/app-bsky-actor-get-suggestions	[namespace=app.bsky]	[group=actor]	[docs_source=http-reference]	[stability=stable]	[route_hint=entryway-or-pds]	[input_encoding=]	[required_query=]	[required_body=]
app-bsky-actor-put-preferences	app.bsky.actor.putPreferences	procedure	POST	/xrpc/app.bsky.actor.putPreferences	https://docs.bsky.app/docs/api/app-bsky-actor-put-preferences	[namespace=app.bsky]	[group=actor]	[docs_source=http-reference]	[stability=stable]	[route_hint=entryway-or-pds]	[input_encoding=application/json]	[required_query=]	[required_body=preferences]
app-bsky-actor-search-actors	app.bsky.actor.searchActors	query	GET	/xrpc/app.bsky.actor.searchActors	https://docs.bsky.app/docs/api/app-bsky-actor-search-actors	[namespace=app.bsky]	[group=actor]	[docs_source=http-reference]	[stability=stable]	[route_hint=entryway-or-pds]	[input_encoding=]	[required_query=]	[required_body=]
app-bsky-actor-search-actors-typeahead	app.bsky.actor.searchActorsTypeahead	query	GET	/xrpc/app.bsky.actor.searchActorsTypeahead	https://docs.bsky.app/docs/api/app-bsky-actor-search-actors-typeahead	[namespace=app.bsky]	[group=actor]	[docs_source=http-reference]	[stability=stable]	[route_hint=entryway-or-pds]	[input_encoding=]	[required_query=]	[required_body=]
app-bsky-ageassurance-begin	app.bsky.ageassurance.begin	procedure	POST	/xrpc/app.bsky.ageassurance.begin	https://docs.bsky.app/docs/api/app-bsky-ageassurance-begin	[namespace=app.bsky]	[group=ageassurance]	[docs_source=http-reference]	[stability=stable]	[route_hint=entryway-or-pds]	[input_encoding=application/json]	[required_query=]	[required_body=email,language,countryCode]
app-bsky-ageassurance-get-config	app.bsky.ageassurance.getConfig	query	GET	/xrpc/app.bsky.ageassurance.getConfig	https://docs.bsky.app/docs/api/app-bsky-ageassurance-get-config	[namespace=app.bsky]	[group=ageassurance]	[docs_source=http-reference]	[stability=stable]	[route_hint=entryway-or-pds]	[input_encoding=]	[required_query=]	[required_body=]
app-bsky-ageassurance-get-state	app.bsky.ageassurance.getState	query	GET	/xrpc/app.bsky.ageassurance.getState	https://docs.bsky.app/docs/api/app-bsky-ageassurance-get-state	[namespace=app.bsky]	[group=ageassurance]	[docs_source=http-reference]	[stability=stable]	[route_hint=entryway-or-pds]	[input_encoding=]	[required_query=countryCode]	[required_body=]
app-bsky-bookmark-create-bookmark	app.bsky.bookmark.createBookmark	procedure	POST	/xrpc/app.bsky.bookmark.createBookmark	https://docs.bsky.app/docs/api/app-bsky-bookmark-create-bookmark	[namespace=app.bsky]	[group=bookmark]	[docs_source=http-reference]	[stability=stable]	[route_hint=entryway-or-pds]	[input_encoding=application/json]	[required_query=]	[required_body=uri,cid]
app-bsky-bookmark-delete-bookmark	app.bsky.bookmark.deleteBookmark	procedure	POST	/xrpc/app.bsky.bookmark.deleteBookmark	https://docs.bsky.app/docs/api/app-bsky-bookmark-delete-bookmark	[namespace=app.bsky]	[group=bookmark]	[docs_source=http-reference]	[stability=stable]	[route_hint=entryway-or-pds]	[input_encoding=application/json]	[required_query=]	[required_body=uri]
app-bsky-bookmark-get-bookmarks	app.bsky.bookmark.getBookmarks	query	GET	/xrpc/app.bsky.bookmark.getBookmarks	https://docs.bsky.app/docs/api/app-bsky-bookmark-get-bookmarks	[namespace=app.bsky]	[group=bookmark]	[docs_source=http-reference]	[stability=stable]	[route_hint=entryway-or-pds]	[input_encoding=]	[required_query=]	[required_body=]
app-bsky-contact-dismiss-match	app.bsky.contact.dismissMatch	procedure	POST	/xrpc/app.bsky.contact.dismissMatch	https://docs.bsky.app/docs/api/app-bsky-contact-dismiss-match	[namespace=app.bsky]	[group=contact]	[docs_source=http-reference]	[stability=stable]	[route_hint=entryway-or-pds]	[input_encoding=application/json]	[required_query=]	[required_body=subject]
app-bsky-contact-get-matches	app.bsky.contact.getMatches	query	GET	/xrpc/app.bsky.contact.getMatches	https://docs.bsky.app/docs/api/app-bsky-contact-get-matches	[namespace=app.bsky]	[group=contact]	[docs_source=http-reference]	[stability=stable]	[route_hint=entryway-or-pds]	[input_encoding=]	[required_query=]	[required_body=]
