method,path,operation_id,summary,tags,permissions_required,api_token_groups,plan_free,plan_pro,plan_business,plan_enterprise,deprecated,cf_deprecation_id,cf_deprecation_eol,cf_deprecation_description
GET,/accounts/{account_id}/email/routing/addresses,email-routing-destination-addresses-list-destination-addresses,List destination addresses,Email Routing destination addresses,com.cloudflare.api.account.email.routing.address.list,Email Routing Addresses Write | Email Routing Addresses Read,True,True,True,True,,,,
POST,/accounts/{account_id}/email/routing/addresses,email-routing-destination-addresses-create-a-destination-address,Create a destination address,Email Routing destination addresses,com.cloudflare.api.account.email.routing.address.create,Email Routing Addresses Write,True,True,True,True,,,,
DELETE,/accounts/{account_id}/email/routing/addresses/{destination_address_identifier},email-routing-destination-addresses-delete-destination-address,Delete destination address,Email Routing destination addresses,com.cloudflare.api.account.email.routing.address.delete,Email Routing Addresses Write,True,True,True,True,,,,
GET,/accounts/{account_id}/email/routing/addresses/{destination_address_identifier},email-routing-destination-addresses-get-a-destination-address,Get a destination address,Email Routing destination addresses,com.cloudflare.api.account.email.routing.address.read,Email Routing Addresses Write | Email Routing Addresses Read,True,True,True,True,,,,
GET,/zones/{zone_id}/email/routing,email-routing-settings-get-email-routing-settings,Get Email Routing settings,Email Routing settings,com.cloudflare.api.account.zone.email.routing.config.read,Zone Settings Write | Zone Settings Read,True,True,True,True,,,,
POST,/zones/{zone_id}/email/routing/disable,email-routing-settings-disable-email-routing,Disable Email Routing,Email Routing settings,com.cloudflare.api.account.zone.email.routing.config.update,Zone Settings Write,True,True,True,True,True,,,
DELETE,/zones/{zone_id}/email/routing/dns,email-routing-settings-disable-email-routing-dns,Disable Email Routing,Email Routing settings,,Zone Settings Write,True,True,True,True,,,,
GET,/zones/{zone_id}/email/routing/dns,email-routing-settings-email-routing-dns-settings,Email Routing - DNS settings,Email Routing settings,com.cloudflare.api.account.zone.email.routing.config.read,Zone Settings Write | Zone Settings Read,True,True,True,True,,,,
PATCH,/zones/{zone_id}/email/routing/dns,email-routing-settings-unlock-email-routing-dns,Unlock Email Routing,Email Routing settings,com.cloudflare.api.account.zone.email.routing.config.update,Zone Settings Write,True,True,True,True,,,,
POST,/zones/{zone_id}/email/routing/dns,email-routing-settings-enable-email-routing-dns,Enable Email Routing,Email Routing settings,com.cloudflare.api.account.zone.email.routing.config.update,Zone Settings Write,True,True,True,True,,,,
POST,/zones/{zone_id}/email/routing/enable,email-routing-settings-enable-email-routing,Enable Email Routing,Email Routing settings,com.cloudflare.api.account.zone.email.routing.config.update,Zone Settings Write,True,True,True,True,True,,,
GET,/zones/{zone_id}/email/routing/rules,email-routing-routing-rules-list-routing-rules,List routing rules,Email Routing routing rules,com.cloudflare.api.account.zone.email.routing.rule.list,Email Routing Rules Write | Email Routing Rules Read,True,True,True,True,,,,
POST,/zones/{zone_id}/email/routing/rules,email-routing-routing-rules-create-routing-rule,Create routing rule,Email Routing routing rules,com.cloudflare.api.account.zone.email.routing.rule.create,Email Routing Rules Write,True,True,True,True,,,,
GET,/zones/{zone_id}/email/routing/rules/catch_all,email-routing-routing-rules-get-catch-all-rule,Get catch-all rule,Email Routing routing rules,com.cloudflare.api.account.zone.email.routing.rule.read,Email Routing Rules Write | Email Routing Rules Read,True,True,True,True,,,,
PUT,/zones/{zone_id}/email/routing/rules/catch_all,email-routing-routing-rules-update-catch-all-rule,Update catch-all rule,Email Routing routing rules,com.cloudflare.api.account.zone.email.routing.rule.update,Email Routing Rules Write,True,True,True,True,,,,
DELETE,/zones/{zone_id}/email/routing/rules/{rule_identifier},email-routing-routing-rules-delete-routing-rule,Delete routing rule,Email Routing routing rules,com.cloudflare.api.account.zone.email.routing.rule.delete,Email Routing Rules Write,True,True,True,True,,,,
GET,/zones/{zone_id}/email/routing/rules/{rule_identifier},email-routing-routing-rules-get-routing-rule,Get routing rule,Email Routing routing rules,com.cloudflare.api.account.zone.email.routing.rule.read,Email Routing Rules Write | Email Routing Rules Read,True,True,True,True,,,,
PUT,/zones/{zone_id}/email/routing/rules/{rule_identifier},email-routing-routing-rules-update-routing-rule,Update routing rule,Email Routing routing rules,com.cloudflare.api.account.zone.email.routing.rule.update,Email Routing Rules Write,True,True,True,True,,,,
